CODGEO,pct_femmes_pop,pct_cadres_pop,age_median_pop
01339,51.06,28.24,42.0
01342,49.44,26.4,42.0
01343,48.62,10.37,42.0
01344,51.24,15.62,42.0
01345,50.85,7.6,42.0
01346,51.87,1.24,42.0
01347,50.23,22.61,42.0
01348,50.68,7.77,42.0
01349,51.23,19.15,42.0
01350,49.62,8.11,42.0
01351,50.24,10.71,42.0
01352,46.46,8.7,42.0
01353,50.93,16.77,42.0
01354,49.02,29.59,42.0
01355,49.18,15.69,42.0
01356,48.76,17.39,42.0
01357,47.6,6.03,42.0
01358,50.12,13.95,42.0
01359,47.71,16.67,42.0
01360,50.13,20.21,42.0
01361,50.56,23.73,42.0
01362,48.94,16.88,42.0
01363,51.96,10.69,42.0
01364,49.03,5.41,42.0
01365,49.91,12.15,42.0
01366,48.17,12.61,42.0
01367,48.91,7.58,42.0
01368,47.49,5.62,42.0
01369,52.15,16.87,42.0
01370,54.16,6.82,42.0
01371,50.37,12.18,42.0
01372,51.51,13.95,42.0
01373,49.53,9.48,42.0
01374,48.6,11.05,42.0
01375,49.65,7.21,42.0
01376,51.43,12.79,42.0
01378,49.93,18.55,42.0
01379,50.42,9.41,42.0
01380,45.55,3.63,42.0
01381,46.82,7.78,42.0
01382,48.46,28.12,42.0
01383,49.65,6.99,42.0
01384,52.15,5.64,42.0
01385,49.67,17.43,42.0
01386,49.92,16.84,42.0
01387,50.0,17.39,42.0
01388,52.09,9.2,42.0
01389,50.2,6.92,42.0
01390,49.71,11.01,42.0
01391,51.0,5.0,42.0
01392,51.49,7.35,42.0
01393,48.44,6.9,42.0
01396,48.46,2.94,42.0
01397,51.12,24.5,42.0
01398,51.06,16.67,42.0
01399,51.25,31.9,42.0
01400,52.24,21.43,42.0
01401,50.35,22.51,42.0
01402,49.91,4.62,42.0
01403,50.72,5.36,42.0
01404,42.96,0.0,42.0
01405,48.53,2.33,42.0
01406,48.69,5.88,42.0
01407,52.7,10.41,42.0
01408,49.67,7.35,42.0
01410,45.96,19.04,42.0
01411,48.67,11.54,42.0
01412,48.86,12.9,42.0
01415,54.97,9.45,42.0
01416,49.79,5.19,42.0
01418,48.73,20.56,42.0
01419,50.35,31.03,42.0
01420,56.8,8.38,42.0
01421,47.99,5.93,42.0
01422,49.79,14.06,42.0
01423,49.72,7.5,42.0
01424,49.4,29.02,42.0
01425,48.63,19.23,42.0
01426,48.7,8.83,42.0
01427,50.47,17.37,42.0
01428,48.41,10.0,42.0
01429,49.52,9.09,42.0
01430,46.7,13.29,42.0
01431,48.27,12.93,42.0
01432,52.23,7.69,42.0
01433,49.64,3.13,42.0
01434,49.37,23.15,42.0
01435,51.02,24.15,42.0
01436,48.93,23.21,42.0
01437,45.74,4.35,42.0
01439,45.83,13.33,42.0
01441,47.88,9.21,42.0
01443,52.21,14.74,42.0
01444,49.06,11.71,42.0
01445,48.67,4.62,42.0
01446,50.22,11.66,42.0
01447,50.69,4.0,42.0
01448,50.53,8.89,42.0
01449,48.75,21.62,42.0
01450,50.51,20.94,42.0
01451,49.93,12.59,42.0
01452,51.34,7.94,42.0
01453,47.69,5.69,42.0
01454,51.43,9.29,42.0
01456,52.11,100.0,42.0
01457,51.25,6.51,42.0
02001,49.67,1.96,42.0
02002,49.49,11.32,42.0
02003,50.94,11.96,42.0
02004,47.57,7.69,42.0
02005,51.35,7.69,42.0
02006,48.15,7.41,42.0
02007,46.61,6.25,42.0
02008,46.75,15.15,42.0
02009,48.79,3.92,42.0
02010,45.4,0.0,42.0
02011,50.04,9.71,42.0
02012,46.48,0.0,42.0
02013,46.3,4.88,42.0
02014,48.63,1.85,42.0
02015,50.0,0.0,42.0
02016,50.46,8.33,42.0
02017,50.89,17.39,42.0
02018,51.59,7.49,42.0
02019,51.14,10.34,42.0
02020,49.45,6.23,42.0
02021,51.95,14.29,42.0
02022,50.34,19.44,42.0
02023,52.13,15.38,42.0
02024,48.89,0.0,42.0
02025,52.08,2.86,42.0
02027,48.6,9.29,42.0
02028,52.46,10.47,42.0
02029,48.19,9.43,42.0
02030,51.76,3.85,42.0
02031,48.4,0.0,42.0
02032,51.08,7.41,42.0
02033,50.98,9.09,42.0
02034,49.04,0.0,42.0
02035,50.04,4.35,42.0
02036,47.22,0.0,42.0
02037,50.71,5.01,42.0
02038,53.97,0.0,42.0
02039,49.99,13.33,42.0
02040,51.43,0.0,42.0
02041,52.5,10.29,42.0
02042,48.92,12.82,42.0
02043,47.69,0.0,42.0
02044,45.83,0.0,42.0
02046,50.55,3.7,42.0
02047,46.3,0.0,42.0
02048,50.0,7.69,42.0
02049,50.2,3.45,42.0
02050,51.57,7.44,42.0
02051,49.61,7.91,42.0
02052,55.3,0.0,42.0
02053,49.08,11.32,42.0
02054,49.81,11.1,42.0
02055,50.0,0.0,42.0
02056,47.62,0.0,42.0
02057,51.03,4.1,42.0
02058,50.03,3.49,42.0
02059,51.3,4.19,42.0
02060,45.14,3.57,42.0
02061,48.14,0.0,42.0
02062,49.62,0.0,42.0
02063,51.19,0.0,42.0
02064,53.59,5.07,42.0
02065,50.45,3.77,42.0
02066,55.1,3.85,42.0
02067,50.24,0.0,42.0
02068,50.0,20.0,42.0
02069,51.92,9.09,42.0
02070,50.6,10.06,42.0
02071,51.03,11.27,42.0
02072,47.46,0.0,42.0
02073,45.0,8.93,42.0
02074,50.71,0.0,42.0
02075,50.0,0.0,42.0
02076,42.07,5.26,42.0
02078,48.48,0.0,42.0
02079,50.76,8.33,42.0
02080,50.51,6.26,42.0
02081,48.98,12.29,42.0
02082,45.83,0.0,42.0
02083,49.41,15.49,42.0
02084,48.08,2.86,42.0
02085,51.06,9.17,42.0
02086,51.0,4.65,42.0
02087,44.12,0.0,42.0
02088,52.5,0.0,42.0
02089,49.6,12.22,42.0
02090,49.23,18.18,42.0
02091,47.37,25.0,42.0
02093,49.38,12.5,42.0
02094,48.78,15.56,42.0
02095,51.87,2.54,42.0
02096,52.13,11.11,42.0
02097,48.89,7.69,42.0
02098,48.82,20.41,42.0
02099,51.13,9.09,42.0
02100,44.2,0.0,42.0
02101,53.8,0.0,42.0
02102,48.37,7.14,42.0
02103,50.23,5.45,42.0
02104,50.51,0.0,42.0
02105,50.78,4.76,42.0
02106,54.05,6.67,42.0
02107,42.31,0.0,42.0
02108,51.43,21.43,42.0
02109,49.42,9.71,42.0
02110,51.56,9.68,42.0
02111,52.44,10.0,42.0
02112,50.36,3.92,42.0
02114,55.1,10.83,42.0
02115,50.75,14.29,42.0
02116,49.62,0.0,42.0
02117,50.79,14.29,42.0
02118,52.31,10.0,42.0
02119,46.26,4.67,42.0
02120,50.0,5.56,42.0
02121,44.29,0.0,42.0
02122,50.91,25.0,42.0
02123,52.38,9.32,42.0
02124,48.86,6.9,42.0
02125,49.73,5.0,42.0
02126,50.57,7.41,42.0
02127,46.8,4.76,42.0
02128,52.63,16.2,42.0
02129,47.62,0.0,42.0
02130,49.51,0.0,42.0
02131,50.21,11.6,42.0
02132,52.41,6.67,42.0
02133,53.69,10.53,42.0
02134,49.19,6.35,42.0
02135,49.87,7.45,42.0
02136,46.09,0.0,42.0
02137,48.85,10.0,42.0
02138,46.86,15.79,42.0
02139,50.76,2.33,42.0
02140,45.8,5.0,42.0
02141,52.89,4.26,42.0
02142,48.18,13.04,42.0
02143,51.08,0.0,42.0
02144,46.53,0.0,42.0
02145,48.41,1.97,42.0
02146,54.22,25.0,42.0
02148,48.99,3.85,42.0
02149,51.67,25.0,42.0
02150,53.23,10.0,42.0
02151,51.38,20.0,42.0
02152,47.19,36.36,42.0
02153,50.63,18.24,42.0
02154,49.61,15.21,42.0
02155,48.22,5.88,42.0
02156,51.34,10.53,42.0
02157,50.91,3.75,42.0
02158,46.67,13.51,42.0
02159,48.64,4.37,42.0
02160,51.91,9.76,42.0
02162,48.99,0.0,42.0
02163,53.31,6.42,42.0
02164,53.89,3.19,42.0
02165,51.9,6.98,42.0
02166,50.04,2.93,42.0
02167,47.17,9.25,42.0
02168,52.63,9.76,42.0
02169,44.58,0.0,42.0
02170,49.19,16.67,42.0
02171,45.65,16.67,42.0
02172,48.92,9.68,42.0
02173,52.45,8.07,42.0
02174,50.1,6.67,42.0
02175,44.9,11.76,42.0
02176,51.46,4.55,42.0
02177,46.76,18.18,42.0
02178,45.67,10.0,42.0
02179,47.98,13.94,42.0
02180,50.01,16.39,42.0
02181,48.45,0.0,42.0
02182,53.68,0.0,42.0
02183,47.78,17.65,42.0
02184,51.54,2.94,42.0
02185,49.25,18.44,42.0
02186,52.91,6.92,42.0
02187,51.24,17.58,42.0
02188,55.32,0.0,42.0
02189,48.2,0.0,42.0
02190,51.88,3.85,42.0
02191,51.84,8.33,42.0
02192,46.61,2.63,42.0
02193,45.0,20.0,42.0
02194,48.55,27.78,42.0
02195,48.47,9.3,42.0
02196,51.7,9.38,42.0
02197,50.55,2.0,42.0
02198,49.38,19.05,42.0
02199,47.4,1.66,42.0
02200,47.17,25.0,42.0
02201,56.44,8.82,42.0
02203,48.95,15.65,42.0
02204,51.56,0.0,42.0
02205,47.95,11.11,42.0
02206,45.07,0.0,42.0
02207,52.07,4.17,42.0
02208,50.29,15.63,42.0
02209,51.37,13.85,42.0
02210,48.4,4.91,42.0
02211,49.85,0.0,42.0
02212,51.32,7.81,42.0
02213,47.31,6.25,42.0
02214,42.62,0.0,42.0
02215,51.84,5.26,42.0
02216,49.08,15.38,42.0
